Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Work;Service time;Age;Work load Average/day ;Hit target;Disciplinary failure;Son;Social drinker;Social smoker;Pet;Body mass index;Gabarito_Horas_Falta
19,0;2;2,0;2;235,0;26,0;1;30,0;263,03419599217864;97;0;1;1;0;8;21;2
23,0;11;5,0;4;184,0;50,0;18;38,0;305,6123075854162;93;0;0;1;0;0;31;0
14,0;7;3,0;1;288,0;36,0;13;33,0;263,2369604193459;93;0;2;1;0;1;30;8
14,0;4;6,0;3;246,0;24,0;16;41,0;329,53990930374994;95;0;0;1;0;0;23;8
0,0;7;5,0;1;259,0;49,0;11;36,0;275,98717882202305;98;1;4;1;0;0;23;0
27,0;1;2,0;2;116,0;10,0;10;37,0;315,80808923823065;95;0;0;0;0;0;28;2
13,0;6;4,0;3;113,0;13,0;18;50,0;382,0578713142823;94;0;1;1;0;0;31;81
27,0;2;4,0;2;182,0;51,0;18;38,0;266,44613757954073;97;0;0;1;0;0;31;2
27,0;3;6,0;2;182,0;50,0;18;38,0;221,7078223267497;99;0;0;1;0;0;31;3
23,0;10;5,0;4;177,0;27,0;9;30,0;263,5650097677233;88;0;0;0;0;0;19;16
23,0;6;3,0;3;113,0;13,0;18;50,0;375,153459139129;94;0;1;1;0;0;31;2
13,0;11;6,0;4;224,0;26,0;9;28,0;305,2035876069945;93;0;1;0;0;2;24;2
13,0;6;4,0;3;121,0;14,0;18;50,0;378,52414014975375;94;0;1;1;0;0;31;81
26,0;12;6,0;4;234,0;20,0;13;43,0;279,7133628192883;98;0;1;1;0;0;38;8
19,0;10;5,0;4;289,0;36,0;13;33,0;266,7461737181529;88;0;2;1;0;1;30;15
26,0;7;4,0;1;239,0;20,0;13;43,0;262,86038257333274;93;0;1;1;0;0;38;4
28,0;10;6,0;4;264,0;51,0;11;37,0;264,54464630576103;88;0;4;1;0;0;23;3
19,0;7;5,0;1;287,0;36,0;13;33,0;275,12537646090016;98;0;2;1;0;1;30;7
26,0;7;2,0;1;262,0;52,0;11;36,0;226,7518349572454;92;0;4;1;0;0;23;5
28,0;9;6,0;1;288,0;30,0;12;40,0;289,19216842983394;81;0;1;1;0;1;25;3
23,0;10;3,0;4;367,0;17,0;12;31,0;285,4076754568697;91;0;3;1;0;0;24;7
0,0;11;5,0;4;241,0;20,0;13;43,0;270,411147580154;93;1;1;1;0;0;38;0
26,0;8;3,0;1;288,0;36,0;13;33,0;249,27413237359124;93;0;2;1;0;1;30;8
14,0;12;5,0;4;357,0;51,0;3;28,0;279,4603881078272;98;0;1;1;0;4;27;4
19,0;10;5,0;4;289,0;36,0;13;33,0;267,18637489171533;88;0;2;1;0;1;30;16
27,0;1;3,0;2;117,0;9,0;10;37,0;308,17841706399304;95;0;0;0;0;0;28;3
24,0;11;4,0;4;226,0;37,0;13;33,0;267,9626538806946;93;0;2;1;0;1;30;7
25,0;2;6,0;2;236,0;16,0;8;32,0;263,2664192133235;97;0;0;0;0;0;25;3
23,0;11;4,0;4;226,0;26,0;9;29,0;306,2994434969766;94;0;1;0;0;2;24;3
10,0;8;4,0;1;330,0;15,0;4;28,0;205,2286896961841;92;0;0;0;0;0;25;7
13,0;12;3,0;2;233,0;20,0;13;43,0;234,3446577455552;93;0;1;1;0;0;38;8
13,0;3;3,0;2;177,0;51,0;18;38,0;224,45120789968576;99;0;0;1;0;0;31;8
6,0;7;3,0;1;224,0;14,0;16;58,0;265,7745122784408;93;0;2;0;0;1;22;121
23,0;2;6,0;2;177,0;21,0;17;40,0;264,3585428606747;97;0;2;0;1;0;22;2
4,0;12;5,0;4;247,0;24,0;16;41,0;240,0129296840825;93;0;0;1;0;0;23;8
28,0;5;2,0;3;159,0;11,0;14;34,0;379,8427733159155;92;0;2;1;0;0;25;1
14,0;7;6,0;1;226,0;25,0;15;41,0;239,93301998051712;97;0;0;1;0;0;23;8
0,0;10;2,0;4;224,0;25,0;9;28,0;283,7997341538029;91;1;1;0;0;2;24;0
21,0;3;5,0;2;226,0;11,0;14;37,0;241,5352507849444;98;0;1;0;0;1;29;7
28,0;12;6,0;4;184,0;52,0;18;38,0;237,76110431482235;93;0;0;1;0;0;31;0
23,0;10;5,0;4;292,0;31,0;12;40,0;247,9719488208292;93;0;1;1;0;1;25;4
22,0;3;4,0;3;366,0;17,0;12;31,0;219,74718237832832;99;0;3;1;0;0;25;8
28,0;5;5,0;3;294,0;30,0;12;40,0;239,8686023138306;99;0;1;1;0;1;25;1
8,0;8;3,0;1;359,0;52,0;3;28,0;266,0023683521093;94;0;1;1;0;4;27;8
23,0;10;6,0;4;358,0;51,0;4;28,0;250,62384287459304;93;0;1;1;0;4;27;0
13,0;5;4,0;3;285,0;36,0;13;33,0;378,0204914842255;92;0;2;1;0;1;30;8
26,0;7;5,0;1;179,0;50,0;18;38,0;280,59972601271096;98;0;0;1;0;0;31;8
25,0;1;5,0;2;179,0;22,0;17;40,0;310,5756368643864;96;0;2;0;1;0;22;3
28,0;5;2,0;3;160,0;12,0;14;34,0;377,39520941215625;92;0;2;1;0;0;25;1
23,0;9;6,0;4;261,0;51,0;11;36,0;238,6397846398833;92;0;4;1;0;0;23;5
11,0;8;5,0;1;291,0;50,0;12;32,0;207,0606509373676;92;0;0;1;0;0;23;4
10,0;10;6,0;4;219,0;27,0;9;28,0;284,27589899846885;91;0;1;0;0;2;24;2
10,0;10;2,0;4;247,0;26,0;14;47,0;284,9386481587918;91;0;2;0;0;1;31;8
10,0;2;5,0;2;182,0;50,0;18;38,0;251,57498319413327;96;0;0;1;0;0;31;6
13,0;5;4,0;3;119,0;13,0;18;50,0;379,1805231524799;92;0;1;1;0;0;31;23
27,0;3;5,0;2;176,0;51,0;18;38,0;222,35962421844832;99;0;0;1;0;0;31;4
22,0;6;5,0;1;232,0;51,0;1;31,0;280,2746711637644;96;0;1;1;0;8;21;8
0,0;6;2,0;3;266,0;10,0;8;33,0;275,8646846189552;96;1;0;0;0;0;25;-1
23,0;8;6,0;1;178,0;51,0;18;38,0;207,7431640889764;92;0;0;1;0;0;31;2
11,0;3;4,0;3;221,0;27,0;9;28,0;340,6981702401095;95;0;1;0;0;2;24;17
22,0;6;4,0;1;234,0;51,0;1;31,0;275,3516560084919;96;0;1;1;0;8;21;4
28,0;3;6,0;2;253,0;26,0;11;36,0;244,7390828955008;98;0;4;1;0;0;23;4
13,0;2;3,0;2;179,0;51,0;18;38,0;265,1281118072683;97;0;0;1;0;0;31;8
25,0;1;5,0;2;178,0;23,0;17;40,0;311,29268373873595;96;0;2;0;1;0;22;1
23,0;10;3,0;4;365,0;17,0;12;31,0;284,721574732481;91;0;3;1;0;0;25;3
23,0;10;2,0;4;235,0;19,0;13;43,0;264,5970098017329;88;0;1;1;0;0;39;1
19,0;12;3,0;4;119,0;10,0;10;37,0;260,5978738436493;97;0;0;0;0;0;28;55
28,0;4;6,0;3;263,0;52,0;11;36,0;325,34014022520404;96;0;4;1;0;0;23;3
28,0;9;6,0;1;284,0;31,0;12;40,0;295,4809543795992;81;0;1;1;0;1;25;4
11,0;6;2,0;3;175,0;50,0;18;38,0;378,0358555010585;94;0;0;1;0;0;31;8
27,0;1;6,0;2;118,0;10,0;10;37,0;309,56826031938067;95;0;0;0;0;0;28;1
18,0;1;3,0;2;181,0;26,0;9;30,0;309,6110803024356;95;0;0;0;0;0;19;8
23,0;8;2,0;1;289,0;35,0;13;33,0;266,425389889508;94;0;2;1;0;1;30;1
1,0;7;2,0;1;330,0;17,0;4;28,0;274,952318554757;98;0;0;0;0;0;25;8
27,0;1;2,0;2;173,0;25,0;9;30,0;312,74224639793744;96;0;0;0;0;0;19;1
14,0;12;5,0;4;359,0;51,0;3;28,0;280,4665184373996;98;0;1;1;0;4;27;5
28,0;3;6,0;3;177,0;52,0;18;38,0;244,49771870387585;98;0;0;1;0;0;31;7
12,0;11;6,0;4;289,0;31,0;12;40,0;282,281521249271;97;0;1;1;0;1;25;5
21,0;11;3,0;4;182,0;51,0;18;38,0;269,34472666234814;93;0;0;1;0;0;31;0
25,0;12;3,0;4;118,0;10,0;10;37,0;238,7868108884851;93;0;0;0;0;0;28;8
23,0;11;6,0;4;228,0;26,0;9;28,0;265,2810091088442;93;0;1;0;0;2;24;2
11,0;5;3,0;3;180,0;51,0;18;38,0;378,1199719946591;92;0;0;1;0;0;31;1
23,0;3;6,0;2;182,0;27,0;9;30,0;223,34361698753105;99;0;0;0;0;0;19;2
27,0;4;6,0;3;184,0;27,0;9;30,0;244,5410486763575;91;0;0;0;0;0;19;2
19,0;9;3,0;1;233,0;19,0;13;43,0;240,7746464404065;92;0;1;1;0;0;38;8
10,0;10;2,0;4;245,0;26,0;14;47,0;278,82306821453375;91;0;2;0;0;1;32;9
23,0;2;3,0;2;226,0;27,0;9;28,0;263,7526738568694;97;0;1;0;0;2;24;4
0,0;11;6,0;4;375,0;49,0;11;36,0;284,40490037067553;97;1;2;0;1;4;21;0
27,0;3;4,0;2;179,0;51,0;18;38,0;220,9570772079157;99;0;0;1;0;0;31;2
4,0;10;5,0;4;290,0;48,0;29;49,0;282,48271426276585;91;0;0;0;0;2;36;2
0,0;9;3,0;1;290,0;48,0;12;32,0;295,1063120278082;81;1;0;1;0;0;23;0
27,0;2;4,0;2;179,0;51,0;18;38,0;267,78684351326245;97;0;0;1;0;0;31;1
9,0;9;4,0;1;242,0;25,0;16;42,0;292,46248342942494;81;0;0;1;0;0;23;33
27,0;3;4,0;2;178,0;51,0;18;38,0;222,6704063237113;99;0;0;1;0;0;31;4
0,0;9;4,0;4;368,0;17,0;12;31,0;241,6296832212981;92;1;3;1;0;0;25;1
23,0;6;4,0;1;120,0;12,0;18;50,0;258,3697934697429;95;0;1;1;0;0;31;2
22,0;7;6,0;1;226,0;52,0;3;28,0;242,79491311911016;97;0;1;1;0;4;27;8
23,0;10;3,0;4;122,0;11,0;10;37,0;253,13892117529585;94;0;0;0;0;0;28;4
22,0;7;6,0;1;359,0;53,0;3;28,0;230,0259185391137;92;0;1;1;0;4;27;9
28,0;7;3,0;1;180,0;52,0;18;39,0;230,95936414015245;92;0;0;1;0;0;31;1
13,0;1;3,0;2;235,0;10,0;14;38,0;333,8816680420588;100;0;1;0;0;1;29;1
23,0;1;3,0;2;230,0;26,0;9;28,0;306,21529769858023;95;0;1;0;0;2;24;1
7,0;5;4,0;3;226,0;42,0;7;27,0;375,8381184938115;92;0;0;0;0;0;21;3
10,0;6;4,0;1;119,0;11,0;10;37,0;275,17350636019984;96;0;0;0;0;0;28;3
22,0;12;4,0;4;364,0;53,0;3;28,0;261,10165272047504;97;0;1;1;0;4;27;6
27,0;2;4,0;2;174,0;51,0;18;38,0;247,350897803844;96;0;0;1;0;0;31;3
10,0;5;2,0;3;155,0;12,0;14;34,0;239,39699070738905;99;0;2;1;0;0;25;49
23,0;5;2,0;3;119,0;12,0;18;50,0;238,4552276780592;99;0;1;1;0;0;31;4
11,0;2;2,0;2;389,0;14,0;9;50,0;302,0350536018391;99;0;0;0;0;0;24;7
1,0;5;2,0;3;237,0;11,0;14;37,0;244,02774681377883;99;0;1;0;0;1;29;7
13,0;11;6,0;4;224,0;27,0;9;28,0;308,3883470042088;93;0;1;0;0;2;24;3
23,0;12;2,0;4;233,0;11,0;14;37,0;236,43856225327025;93;0;1;0;0;1;29;3
27,0;3;4,0;2;184,0;51,0;18;38,0;222,34715931365903;99;0;0;1;0;0;31;4
23,0;7;6,0;1;124,0;14,0;18;50,0;228,67684899277407;92;0;1;1;0;0;31;1
19,0;6;5,0;3;119,0;12,0;18;50,0;274,5913660433083;96;0;1;1;0;0;31;3
23,0;11;5,0;4;172,0;52,0;18;38,0;305,0122799000606;93;0;0;1;0;0;31;2
14,0;3;6,0;2;248,0;26,0;14;47,0;341,1034828963772;95;0;2;0;0;1;32;3
23,0;12;5,0;4;226,0;26,0;9;28,0;279,3346749616128;98;0;1;0;0;2;24;2
22,0;4;2,0;3;365,0;16,0;12;31,0;238,0970933125433;98;0;3;1;0;0;25;3
28,0;6;6,0;1;245,0;25,0;16;41,0;251,4012739649671;95;0;0;1;0;0;23;2
27,0;1;3,0;2;224,0;27,0;9;28,0;310,3339431862977;95;0;1;0;0;2;24;2
13,0;6;5,0;3;178,0;26,0;9;30,0;275,957134354301;96;0;0;0;0;0;19;2
28,0;3;3,0;3;246,0;25,0;16;40,0;243,89177757631887;98;0;0;1;0;0;23;1
22,0;11;3,0;4;361,0;51,0;3;28,0;265,2090333321947;93;0;1;1;0;4;27;8
28,0;9;3,0;1;289,0;31,0;12;40,0;292,51569173290017;81;0;1;1;0;1;26;4
13,0;6;6,0;3;233,0;10,0;14;37,0;378,6202659109914;94;0;1;0;0;1;29;17
19,0;3;3,0;2;261,0;50,0;11;37,0;347,7880711033602;95;0;4;1;0;0;23;8
14,0;10;4,0;4;293,0;26,0;29;49,0;283,0630438883135;91;0;0;0;0;2;36;2
23,0;2;3,0;2;284,0;32,0;12;40,0;252,3303490200973;96;0;1;1;0;1;25;2
23,0;3;4,0;2;299,0;37,0;13;33,0;220,9787023658328;99;0;2;1;0;1;30;8
27,0;3;5,0;2;172,0;50,0;18;38,0;224,10031684011085;99;0;0;1;0;0;31;3
16,0;5;6,0;3;177,0;21,0;18;40,0;236,68060651714745;99;0;2;0;1;0;22;0
13,0;11;6,0;4;227,0;25,0;9;28,0;306,9512291171547;93;0;1;0;0;2;24;4
28,0;4;6,0;3;223,0;26,0;9;29,0;326,8918599801022;96;0;1;0;0;2;24;1
28,0;12;2,0;4;184,0;52,0;18;38,0;235,98202788260048;93;0;0;1;0;0;31;2
13,0;4;4,0;3;185,0;50,0;18;37,0;327,0382387249558;96;0;0;1;0;0;31;25
18,0;1;3,0;2;149,0;11,0;14;34,0;307,5171251699026;95;0;2;1;0;0;25;7
13,0;12;6,0;4;175,0;25,0;9;30,0;281,7393053867007;98;0;0;0;0;0;19;1
26,0;7;4,0;1;287,0;26,0;13;33,0;274,5883668952723;98;0;2;1;0;1;30;7
23,0;5;4,0;3;250,0;25,0;14;47,0;250,0757552448686;99;0;2;0;0;1;32;3
10,0;8;4,0;1;327,0;17,0;4;28,0;207,6955330999212;92;0;0;0;0;0;25;7
13,0;5;5,0;3;178,0;26,0;9;30,0;235,2159405876304;99;0;0;0;0;0;19;2
19,0;12;3,0;4;121,0;26,0;10;37,0;262,0394126680414;97;0;0;0;0;0;28;56
23,0;10;4,0;4;227,0;25,0;9;27,0;250,55529383235228;93;0;1;0;0;2;24;3
10,0;2;6,0;2;247,0;23,0;17;41,0;252,6417357389636;96;0;0;1;0;0;23;24
22,0;11;2,0;4;188,0;29,0;13;33,0;302,7122389755588;93;0;2;0;0;2;25;7
23,0;11;6,0;4;228,0;26,0;9;28,0;270,1638853761294;93;0;1;0;0;2;24;4
0,0;10;4,0;4;234,0;20,0;13;43,0;266,12099471668256;88;1;1;1;0;0;38;-1
16,0;4;3,0;3;177,0;21,0;17;39,0;243,5462559231001;91;0;2;0;1;0;22;4
28,0;3;6,0;2;258,0;49,0;11;36,0;243,0665599968904;98;0;4;1;0;0;23;2
28,0;3;2,0;3;229,0;26,0;9;28,0;343,496681262349;95;0;1;0;0;2;24;1
18,0;8;2,0;1;180,0;51,0;18;38,0;207,7678629977164;92;0;0;1;0;0;31;8
27,0;2;4,0;2;181,0;52,0;18;39,0;263,9114545691408;97;0;0;1;0;0;31;3
25,0;8;2,0;1;185,0;23,0;17;40,0;249,6390817346729;93;0;2;0;1;0;22;0
17,0;3;3,0;2;178,0;22,0;17;40,0;339,2151829420448;95;0;2;0;1;0;22;7
11,0;6;2,0;3;179,0;51,0;18;39,0;376,2274097954107;94;0;0;1;0;0;31;9
23,0;10;5,0;4;184,0;26,0;9;30,0;250,76394077458832;93;0;0;0;0;0;19;1
18,0;1;3,0;2;153,0;13,0;14;35,0;309,3527636394745;95;0;2;1;0;0;25;9
23,0;7;6,0;1;119,0;12,0;18;50,0;230,5491756058687;92;0;1;1;0;0;31;1
23,0;8;6,0;1;177,0;51,0;18;38,0;205,6289284997879;92;0;0;1;0;0;31;1
11,0;5;3,0;3;180,0;51,0;18;38,0;378,4266550064131;92;0;0;1;0;0;31;2
23,0;3;6,0;2;228,0;27,0;9;28,0;345,9106824708121;95;0;1;0;0;2;24;2
0,0;5;4,0;3;377,0;26,0;11;36,0;237,59292273215448;99;1;2;0;1;4;21;-1
0,0;3;4,0;2;370,0;17,0;12;31,0;243,2703350184196;98;1;3;1;0;0;25;0
28,0;8;3,0;1;124,0;10,0;10;38,0;252,31320586739545;93;0;0;0;0;0;28;7
27,0;12;6,0;4;124,0;11,0;10;37,0;264,864449862552;97;0;0;0;0;0;28;1
26,0;9;4,0;4;240,0;19,0;13;43,0;292,79204500714286;81;0;1;1;0;0;38;8
27,0;2;4,0;2;177,0;51,0;18;38,0;266,8384972127345;97;0;0;1;0;0;31;3
28,0;8;6,0;1;262,0;50,0;11;36,0;264,124788616322;94;0;4;1;0;0;23;5
18,0;1;3,0;2;155,0;11,0;14;34,0;316,7952534523544;96;0;2;1;0;0;25;7
8,0;5;4,0;3;226,0;10,0;10;37,0;236,5989331873188;99;0;0;0;0;0;28;3
23,0;8;3,0;1;226,0;37,0;13;33,0;204,43813993924783;92;0;2;1;0;1;30;0
28,0;9;6,0;1;289,0;30,0;12;40,0;296,32577913832336;81;0;1;1;0;1;25;3
28,0;7;3,0;1;246,0;24,0;16;41,0;232,7573075757801;92;0;0;1;0;0;23;1
8,0;11;3,0;4;122,0;9,0;10;38,0;269,10882382780966;93;0;0;0;0;0;28;8
19,0;1;2,0;2;116,0;10,0;10;37,0;309,74156889977144;95;0;0;0;0;0;28;1
23,0;2;4,0;2;227,0;27,0;9;28,0;304,29896269355567;99;0;1;0;0;2;24;1
15,0;11;6,0;4;257,0;50,0;11;36,0;285,37723282983313;97;0;4;1;0;0;23;7
26,0;6;6,0;3;226,0;9,0;9;37,0;278,0533579015524;96;0;0;0;0;0;28;9
27,0;2;6,0;2;187,0;51,0;18;38,0;251,5888155409116;96;0;0;1;0;0;31;3
25,0;8;2,0;1;248,0;23,0;14;46,0;266,43807043902405;94;0;2;0;0;1;32;2
27,0;1;2,0;2;226,0;27,0;9;30,0;309,3460563980948;96;0;0;0;0;0;19;1
28,0;9;5,0;4;125,0;14,0;18;50,0;294,6757636036613;81;0;1;1;0;0;30;0
27,0;2;5,0;2;181,0;51,0;18;38,0;265,2060152121507;97;0;0;1;0;0;31;3
26,0;1;2,0;2;115,0;12,0;18;50,0;328,7206965760773;100;0;1;1;0;0;31;4
27,0;3;5,0;3;180,0;51,0;18;38,0;224,05299526872471;99;0;0;1;0;0;31;3
28,0;5;5,0;3;226,0;31,0;12;40,0;238,32916875420943;99;0;1;1;0;1;25;2
1,0;7;3,0;1;333,0;16,0;4;28,0;271,2060062335615;98;0;0;0;0;0;25;8
1,0;2;4,0;2;245,0;25,0;14;47,0;262,7340277007297;97;0;2;0;0;1;32;8
18,0;8;2,0;1;288,0;37,0;13;33,0;207,28978100020564;92;0;2;1;0;1;30;7
27,0;2;2,0;2;180,0;51,0;18;38,0;264,8848295846782;97;0;0;1;0;0;31;3
27,0;1;4,0;2;228,0;25,0;9;28,0;308,1859010424053;95;0;1;0;0;2;24;3
8,0;3;5,0;2;226,0;26,0;17;40,0;343,6528065204265;95;0;2;0;1;0;22;8
23,0;9;6,0;4;264,0;51,0;11;36,0;242,2660945620292;92;0;4;1;0;0;23;4
23,0;12;4,0;4;226,0;26,0;9;28,0;280,3391639770912;98;0;1;0;0;2;24;2
8,0;8;3,0;1;361,0;52,0;3;28,0;267,5859426446969;94;0;1;1;0;4;27;8
0,0;10;6,0;4;248,0;25,0;14;47,0;263,51544044877;88;1;2;0;0;1;32;-1
27,0;2;4,0;2;175,0;51,0;18;38,0;252,52734750614528;96;0;0;1;0;0;31;3
23,0;12;2,0;4;235,0;10,0;14;37,0;237,16819362807968;93;0;1;0;0;1;29;3
23,0;6;2,0;3;118,0;9,0;10;37,0;256,82315240519904;95;0;0;0;0;0;28;2
11,0;4;4,0;3;114,0;11,0;10;37,0;237,688133066839;98;0;0;0;0;0;28;3
28,0;12;6,0;4;175,0;52,0;18;38,0;234,7268124833512;93;0;0;1;0;0;31;1
23,0;10;4,0;4;248,0;24,0;14;47,0;252,48760836390585;93;0;2;0;0;1;32;2
26,0;4;6,0;3;335,0;16,0;4;28,0;239,28355253147595;98;0;0;0;0;0;25;4
1,0;2;3,0;2;395,0;15,0;9;50,0;305,6283781441174;99;0;0;0;0;0;24;8
0,0;10;4,0;4;112,0;12,0;18;50,0;254,57223842708336;93;1;1;1;0;0;31;-1
